ID,x_data,y_data,coverage,redundancy,effort,ideal_coverage
139,62,6,271,0.0011267,14.14213562,173.5
140,61,6,271,0.001136862,14.14213562,174.75
141,61,5,272,0.001142807,14.14213562,176
142,62,4,277,0.00113212,15.55634919,177.25
143,62,5,277,0.001142062,15.55634919,178.5
144,62,4,277,0.001152004,15.55634919,179.75
145,63,4,281,0.001145405,15.55634919,181
146,64,4,285,0.001138992,15.55634919,182.25
147,65,4,289,0.001132756,15.55634919,183.5
148,66,4,293,0.001126691,15.55634919,184.75
149,67,3,297,0.001118471,16.97056275,186
150,67,2,298,0.001119338,16.97056275,187.25
151,67,1,301,0.001112757,16.97056275,188.5
152,66,1,302,0.001115911,16.97056275,189.75
153,67,1,302,0.001120471,16.97056275,191
154,67,2,302,0.00112503,16.97056275,192.25
155,67,3,302,0.001131869,16.97056275,193.5
156,66,3,304,0.001133481,16.97056275,194.75
157,66,4,304,0.00114254,16.97056275,196
158,65,4,304,0.001151599,16.97056275,197.25
159,64,4,304,0.001160658,16.97056275,198.5
160,63,4,304,0.001169716,16.97056275,199.75
161,62,4,304,0.001178775,16.97056275,201
162,61,4,304,0.001187834,16.97056275,202.25
163,60,3,306,0.00118907,18.38477631,203.5
164,59,2,306,0.00119582,19.79898987,204.75
165,59,1,309,0.001190894,19.79898987,206
166,58,1,310,0.001193715,19.79898987,207.25
167,57,1,311,0.001196518,19.79898987,208.5
168,56,1,312,0.001199303,19.79898987,209.75
169,55,1,313,0.00120207,19.79898987,211
170,54,2,313,0.001206469,21.21320344,212.25
171,54,3,313,0.001210868,21.21320344,213.5
172,54,4,313,0.001215267,21.21320344,214.75
173,54,5,313,0.001219666,21.21320344,216
174,54,6,313,0.001224066,21.21320344,217.25
175,54,7,313,0.001227365,21.21320344,218.5
176,54,8,313,0.001230664,21.21320344,219.75
177,54,9,313,0.001235063,21.21320344,221
178,54,10,313,0.001241662,21.21320344,222.25
179,53,10,313,0.001248261,21.21320344,223.5
180,52,10,313,0.00125486,21.21320344,224.75
181,51,10,313,0.001261458,21.21320344,226
182,50,9,314,0.001264019,22.627417,227.25
183,49,9,314,0.001270596,22.627417,228.5
184,48,9,314,0.001277174,22.627417,229.75
185,47,9,315,0.001279677,22.627417,231
186,46,10,316,0.001282163,24.04163056,232.25
187,45,10,316,0.001288699,24.04163056,233.5
188,44,10,316,0.001295235,24.04163056,234.75
189,43,10,316,0.001301771,24.04163056,236
190,42,10,318,0.001300079,24.04163056,237.25
191,42,9,318,0.001304409,24.04163056,238.5
192,41,9,318,0.001308739,24.04163056,239.75
193,41,10,318,0.001315234,24.04163056,241
194,41,11,320,0.00131562,24.04163056,242.25
195,41,12,321,0.001319028,24.04163056,243.5
196,41,13,325,0.001310208,24.04163056,244.75
197,41,14,327,0.001308511,24.04163056,246
