ID,x_data,y_data,test_val
399,53,34,1
400,53,33,1
401,54,33,1
402,54,32,1
403,54,31,1
404,55,31,1
405,55,30,1
406,55,29,1
407,55,28,1
408,55,27,1
409,55,26,1
410,56,26,1
411,57,26,1
412,57,27,1
413,58,27,1
414,58,28,1
415,58,29,1
416,59,30,1
417,59,31,1
418,59,32,1
419,60,32,1
420,61,32,1
421,61,33,1
422,62,33,1
423,63,33,1
424,63,32,1
425,64,32,1
426,64,31,1
427,65,31,1
428,65,31,1
429,65,31,1
430,64,31,1
431,63,31,1
432,63,30,1
433,62,30,1
434,62,29,1
435,62,28,1
436,62,27,1
437,62,26,1
438,62,25,1
439,62,24,1
440,62,23,1
441,62,22,1
442,62,21,1
443,62,20,1
444,62,19,1
445,62,18,1
446,62,17,1
447,62,16,1
448,63,16,1
449,64,15,1
450,65,15,1
451,65,14,1
452,66,14,1
453,67,14,1
454,68,14,1
455,68,15,1
456,69,15,1
457,69,16,1
458,69,17,1
459,68,17,1
460,67,16,1
461,67,17,1
462,67,17,1
463,67,17,1
464,68,17,1
465,68,16,1
466,69,16,1
467,69,15,1
468,70,16,1
469,71,16,1
470,72,16,1
471,71,17,1
472,71,18,1
473,72,19,1
474,72,20,1
475,71,20,1
476,71,21,1
477,71,22,1
478,71,23,1
479,72,23,1
480,72,24,1
481,73,24,1
482,74,25,1
483,74,26,1
484,74,25,1
485,74,24,1
486,73,24,1
487,73,25,1
488,74,25,1
489,75,25,1
490,76,25,1
491,77,25,1
492,78,25,1
493,79,25,1
494,80,25,1
495,81,25,1
496,82,25,1
497,82,24,1
498,82,23,1
499,81,23,1
500,81,22,1
501,82,21,1
502,82,20,1
503,81,20,1
504,80,19,1
505,81,19,1
506,81,18,1
507,81,18,1
508,81,18,1
509,80,19,1
510,80,18,1
511,79,18,1
512,79,19,1
513,80,19,1
514,81,19,1
515,81,20,1
516,81,21,1
517,80,21,1
518,79,21,1
519,79,21,1
520,79,21,1
521,80,21,1
522,80,20,1
523,81,20,1
524,82,20,1
525,82,21,1
526,82,22,1
527,83,22,1
528,83,23,1
529,83,24,1
530,82,24,1
531,81,25,1
532,80,25,1
533,79,25,1
534,78,25,1
535,77,25,1
536,76,25,1
537,75,25,1
538,74,25,1
539,73,24,1
540,73,23,1
541,73,22,1
542,74,22,1
543,74,23,1
544,74,24,1
545,74,25,1
546,75,25,1
547,76,25,1
548,77,25,1
549,78,25,1
550,79,25,1
551,80,25,1
552,81,25,1
553,82,25,1
